# Catálogo de Perfis Comerciais — Distribuidores do Ceará (Gerdau / Ferro Sul / Fasal)
# Referência normativa: ABNT NBR 14762 (perfis formados a frio), NBR 8800 (perfis laminados)
# Unidades: Area [m²] | Ix [m⁴] | Iy [m⁴] | J [m⁴] | fy [MPa] | E [GPa]
# Comprimento comercial padrão: 6,0 m
#
# Famílias disponíveis:
#   Ue  → U Enrijecido (banzos de treliça)          — NBR 14762
#   L   → Cantoneira de Abas Iguais (montantes/diag) — DIN 1028 / NBR 6355
#   RHS → Tubo Retangular / Metalon (treliças tubul.) — NBR 6363
#
Name,Familia,h_mm,bf_mm,d_mm,t_mm,Area_m2,Ix_m4,Iy_m4,J_m4,Uso_recomendado,Chapa_referencia
Ue75x40x15x2.00,Ue,75,40,15,2.00,3.26E-04,2.91E-07,3.89E-08,4.36E-10,Banzo,—
Ue75x40x15x2.25,Ue,75,40,15,2.25,3.65E-04,3.24E-07,4.34E-08,6.18E-10,Banzo,—
Ue75x40x15x2.65,Ue,75,40,15,2.65,4.28E-04,3.77E-07,5.04E-08,1.01E-09,Banzo,—
Ue75x40x15x3.00,Ue,75,40,15,3.00,4.83E-04,4.23E-07,5.65E-08,1.45E-09,Banzo,—
Ue92x40x15x2.00,Ue,92,40,15,2.00,3.60E-04,5.06E-07,4.24E-08,4.80E-10,Banzo,—
Ue92x40x15x2.25,Ue,92,40,15,2.25,4.03E-04,5.65E-07,4.73E-08,6.82E-10,Banzo,—
Ue92x40x15x2.65,Ue,92,40,15,2.65,4.73E-04,6.58E-07,5.49E-08,1.11E-09,Banzo,—
Ue92x40x15x3.00,Ue,92,40,15,3.00,5.34E-04,7.39E-07,6.17E-08,1.60E-09,Banzo,—
Ue100x40x15x2.00,Ue,100,40,15,2.00,3.76E-04,6.28E-07,4.38E-08,5.02E-10,Banzo,—
Ue100x40x15x2.25,Ue,100,40,15,2.25,4.22E-04,7.02E-07,4.89E-08,7.13E-10,Banzo,—
Ue100x40x15x2.65,Ue,100,40,15,2.65,4.95E-04,8.19E-07,5.68E-08,1.16E-09,Banzo,—
Ue100x40x15x3.00,Ue,100,40,15,3.00,5.59E-04,9.20E-07,6.38E-08,1.68E-09,Banzo,—
L19x3.18,L,19,19,—,3.18,1.11E-04,3.20E-09,3.20E-09,3.74E-10,Montante/Diagonal,3/4"x1/8"
L22x3.18,L,22,22,—,3.18,1.30E-04,5.03E-09,5.03E-09,4.40E-10,Montante/Diagonal,7/8"x1/8"
L25x3.18,L,25,25,—,3.18,1.49E-04,7.49E-09,7.49E-09,5.02E-10,Montante/Diagonal,1"x1/8"
L32x3.18,L,32,32,—,3.18,1.92E-04,1.60E-08,1.60E-08,6.47E-10,Montante/Diagonal,1.1/4"x1/8"
RHS50x30x2.00,RHS,50,30,—,2.00,2.96E-04,5.60E-08,2.08E-08,5.50E-08,Banzo/Montante,Chapa 14
RHS50x30x1.50,RHS,50,30,—,1.50,2.25E-04,4.36E-08,1.63E-08,4.25E-08,Banzo/Montante,Chapa 16
RHS60x40x2.00,RHS,60,40,—,2.00,3.76E-04,1.11E-07,5.43E-08,1.28E-07,Banzo/Montante,Chapa 14
RHS60x40x1.50,RHS,60,40,—,1.50,2.85E-04,8.63E-08,4.24E-08,9.87E-08,Banzo/Montante,Chapa 16
RHS80x40x2.00,RHS,80,40,—,2.00,4.56E-04,2.52E-07,7.43E-08,2.34E-07,Banzo/Montante,Chapa 14
RHS80x40x1.50,RHS,80,40,—,1.50,3.45E-04,1.95E-07,5.77E-08,1.80E-07,Banzo/Montante,Chapa 16
